Id конкурса;Обр. программы;Комментарий к конкурсу;Код НПС/УГСН;НПС/УГСН
22508;8225 - Прикладные компьютерные технологии и искусственный интеллект;26\5330\1 ДОГ очн Прикладные компьютерные технологии и искусственный интеллект, ДОГ;2.27.03.03;пмпу
22509;8225 - Прикладные компьютерные технологии и искусственный интеллект;26\5330\1 ИН ДОГ очн Прикладные компьютерные технологии и искусственный интеллект, ДОГ;2.27.03.03;пмпу
22510;8298 - Реставрация произведений изобразительного и декоративно-прикладного искусства (с дополнительной квалификацией «Специалист по техническим процессам художественной деятельности»);26\5338\1 ГБ очн Реставрация произведений изобразительного и декоративно-прикладного искусства, ОтК;8.54.03.04;фи
22511;8193 - Математика (с дополнительной квалификацией «Специалист по научно-исследовательским разработкам»);26\5339\1 ГБ очн Математика, Б;1.01.03.01;М
22512;8221 - Прикладная информатика в области искусств и гуманитарных наук (с дополнительной квалификацией «Специалист по информационным системам»);26\5335\1 ГБ очн Прикладная информатика в области искусств и гуманитарных наук, Б;2.09.03.03;фи
22513;8221 - Прикладная информатика в области искусств и гуманитарных наук (с дополнительной квалификацией «Специалист по информационным системам»);26\5335\1 ИН ДОГ очн Прикладная информатика в области искусств и гуманитарных наук, ДОГ;2.09.03.03;фи
22514;8295 - Графический дизайн (с дополнительной квалификацией «Графический дизайнер»);26\5336\1 ГБ очн Графический дизайн, ОтК;8.54.03.01;фи
22515;8298 - Реставрация произведений изобразительного и декоративно-прикладного искусства (с дополнительной квалификацией «Специалист по техническим процессам художественной деятельности»);26\5338\1 ГБ очн Реставрация произведений изобразительного и декоративно-прикладного искусства, ОсК;8.54.03.04;фи
22516;8298 - Реставрация произведений изобразительного и декоративно-прикладного искусства (с дополнительной квалификацией «Специалист по техническим процессам художественной деятельности»);26\5338\1 ГБ очн Реставрация произведений изобразительного и декоративно-прикладного искусства, Б;8.54.03.04;фи
22517;8296 - Дизайн среды (с дополнительной квалификацией «Художник-оформитель»);26\5337\1 ДОГ очн Дизайн среды, ДОГ;8.54.03.01;фи
